ID,Movie Name,Type,Genres,Release Year,Age Range,Runtime,Kinosan Rating,Найруулагч,Зохиолч,Жүжигчид,Продакшн,runtime_minutes,Runtime_filled
213,Намрын синдром,Кино,Намрын синдром МУСК,2010,ЭЭХ,1ц 37м,6.6,Д.Галбаяр,,Д.Галбаяр Э.Цолмонбаяр Н.Цэнд-Аюуш А.Өнөржаргал Ж.Уянга,Коктайл фильмс,97,1ц 37м
214,Мөнгөний гахай,Кино,,2011,ЭЭХ,1ц 33м,6.6,Д.Энхбаяр,,Д.Энхбаяр Э.Цолмонбаяр Н.Цэнд-Аюуш А.Өнөржаргал,Коктайл фильмс,93,1ц 33м
215,Сайн уу амьдрал минь,Кино,,2008,ЭЭХ,2ц 4м,6.9,З.Батболд,,З.Батболд Э.Цолмонбаяр Н.Цэнд-Аюуш А.Өнөржаргал О.Цэнгэл Б.Ганхүү,Коктайл фильмс,124,2ц 4м
216,Хархны өгөөш,Кино,,2010,13+,1ц 33м,6.9,Г.Дарханбаяр,,Г.Дарханбаяр Г.Дарханбат Д.Алтанцоож Л.Сумъяа С.Ариунбямба П.Баттөр Б.Батчимэг,Твинс фильмс студи (Twins Film),93,1ц 33м
217,Тэнгэрийн андгай,Кино,,2006,13+,1ц 18м,6.3,Б.Ганболд,,"Д.Сосорбарам, П.Цэрэндагва, Ж.Сүххуяг, Хаанаас үзэх вэ? Жүжигчид Б.Ганболд Д.Сосорбарам П.Цэрэндагва Ж.Сүххуяг",[],78,1ц 18м
218,Ми-15,Кино,,2010,16+,1ц 29м,6.5,С.Нэргүй,,С.Нэргүй Н.Ялалт С.Ариунбямба А.Баттүшиг,Soyombo,89,1ц 29м
219,Дурлалын ангууч,Кино,,2008,13+,1ц 28м,6.3,Д.Энхбаатар,,Д.Энхбаатар Н.Ялалт О.Пүрэвдулам Э.Тамир М.Мөнхзул Э.Тунгалагтамир,Soyombo,88,1ц 28м
220,Сайн Муу Хэрцгий,Кино,,2011,ЭЭХ,,6.8,А.Миеэгомбо,А.Миеэгомбо,"Б.Даулетжан, Жүжигчид А.Миеэгомбо Б.Даулетжан",[],87.17165669,1ц 27м
221,Гэрч,Кино,,2010,ЭЭХ,,6.3,О.Батзориг,,"Х.Батбаяр, Б.Ариунжаргал, Т.Ганбаатар, Жүжигчид О.Батзориг Х.Батбаяр Б.Ариунжаргал Т.Ганбаатар",[],87.17165669,1ц 27м
222,Худгийн мисс,Кино,,2011,ЭЭХ,1ц 16м,6.5,Ж.Биндэр,,"Ц.Төгсбилэгт, М.Батжаргал, Ө.Наранбаатар, Жүжигчид Ж.Биндэр Ц.Төгсбилэгт М.Батжаргал Ө.Наранбаатар",[],76,1ц 16м
223,Хүний наймаа,Кино,,2008,ЭЭХ,1ц 15м,6.5,Ж.Биндэр,,"Д.Номин-Эрдэнэ, Д.Оюунтуул, Жүжигчид Ж.Биндэр Д.Номин-Эрдэнэ Д.Оюунтуул",[],75,1ц 15м
224,Сүүгээр ариусдаг хорвоо,Кино,,2002,ЭЭХ,1ц 18м,7,Ж.Биндэр,,,[],78,1ц 18м
225,Үүлэн чөлөөний нар,Кино,,2002,Б,1ц 48м,6.3,Ж.Биндэр,,"Б.Гантулга, Д.Оюунтуул, Ч.Болд, Жүжигчид Ж.Биндэр Б.Гантулга Д.Оюунтуул Ч.Болд",[],108,1ц 48м
226,Хайр харуусал,Кино,,2011,ЭЭХ,1ц 32м,5,Л.Энхбаяр,,"Б.Отгончимэг, П.Эрдэнэзаан, Ж.Мөнхсайхан, Э.Алдар, Жүжигчид Л.Энхбаяр Б.Отгончимэг П.Эрдэнэзаан Ж.Мөнхсайхан Э.Алдар",[],92,1ц 32м
227,Миний ахын эхнэр,Кино,,2012,ЭЭХ,1ц 26м,6.8,Д.Ханьсаг,,Д.Ханьсаг Б.Батзаяа С.Болорбайгал Г.Жанчив Р.Адъяа,Нэшнл фильм (National film),86,1ц 26м
228,Дурсамж төгсгөл үгүй,Кино,,2011,ЭЭХ,1ц 38м,5.5,Б.Батсайхан,Б.Батсайхан,"Б.Тамир, М.Баярбат, Б.Бадамцэцэг, Ж.Алтаншагай, О.Бат-Өлзий, Н.Отгонтогос, А.Энхбаяр, Э.Одбаяр, Жүжигчид Б.Тамир М.Баярбат Б.Батсайхан О.Базаррагчаа А.Төгсбаяр Б.Бадамцэцэг Ж.Алтаншагай О.Бат-Өлзий Н.Отгонтогос А.Энхбаяр Э.Одбаяр",[],98,1ц 38м
229,Ээжийн дайсан,Кино,,2012,ЭЭХ,1ц 35м,6.3,Л.Лхагважаргал,,"Б.Тунгалаг, Ч.Цэлмүүн, Д.Баттөмөр, Г.Алтаншагай, Г.Эрхэмбаяр, Ж.Оюундарь, Д.Бямбацогт, Л.Нурбулан, Т.Баттулга, В.Гэрэлцэцэг, Хаанаас үзэх вэ? Жүжигчид Л.Лхагважаргал Б.Тунгалаг Ч.Цэлмүүн Ж.Оюундарь Д.Баттөмөр Д.Бямбацогт Л.Нурбулан Г.Алтаншагай Т.Баттулга Г.Эрхэмбаяр В.Гэрэлцэцэг",[],95,1ц 35м
230,Цэлмэг тэнгэр,Кино,,2011,ЭЭХ,1ц 31м,7,Ж.Ганбат,,Ж.Ганбат Б.Гэрэлчулуун О.Тэмүүжин В.Гэрэлцэцэг,Лоожикфильм (Logicfilm),91,1ц 31м
231,Төрийн дайсан,Кино,,2009,ЭЭХ,1ц 34м,6.9,П.Дэлгэрбаяр,,"О.Долгор, С.Батчимэг, М.Мягмар, Д.Лхагва, Жүжигчид П.Дэлгэрбаяр О.Долгор С.Батчимэг М.Мягмар Д.Лхагва",[],94,1ц 34м
232,Хайртай бол хартай,Кино,,2012,13+,1ц 30м,6.2,,,Р.Алтансүх С.Өлзийхүү Д.Түвшинтөр Ш.Жавхлан Р.Адъяа,TS студи,90,1ц 30м
233,Элсний нүүдэл,Кино,,2007,ЭЭХ,,7.2,Ц.Балдорж,,"А.Дэлгэрмаа, Э.Одсүрэн, Б.Энхцацрал, Жүжигчид Ц.Балдорж А.Дэлгэрмаа Э.Одсүрэн Б.Энхцацрал",[],87.17165669,1ц 27м
234,Элсний нүүдэл 2,Кино,,2008,ЭЭХ,1ц 28м,7.3,Ц.Балдорж,,Ц.Балдорж А.Дэлгэрмаа Э.Одсүрэн Б.Энхцацрал,Си Эй Си пикчерс,88,1ц 28м
235,Шүрэн бугуйвч,Кино,,2008,ЭЭХ,1ц 39м,5.2,Д.Амар,,Д.Амар Г.Чинсанаа У.Энхдөл Г.Золзаяа,Си Эй Си пикчерс,99,1ц 39м
236,Миний хөрш чөтгөр,Кино,,2009,13+,1ц 27м,7.3,,А.Миеэгомбо,"Г.Нарансолонго, Т.Бархүү, Жүжигчид Г.Нарансолонго Т.Бархүү А.Миеэгомбо",[],87,1ц 27м
237,Помогите нам 2,Кино,,2010,ЭЭХ,1ц 44м,6.7,Ш.Даваадорж,,Ш.Даваадорж Д.Батсүх Ш.Доржсүрэн С.Лхагвасүрэн А.Адилцэцэг Р.Адъяа,Заяа'Ш студи,104,1ц 44м
238,Рашаантын 18,Кино,,2011,13+,1ц 36м,6.9,Ш.Даваадорж,,Ш.Даваадорж Г.Жанчив А.Адилцэцэг,Заяа'Ш студи,96,1ц 36м
239,Помогите нам: 23-р хурдан галт тэрэг,Кино,,2010,ЭЭХ,,7.1,Ш.Даваадорж,Ш.Даваадорж Ч.Ганзориг,Б.Болдбаатар А.Адилцэцэг Г.Жанчив Ш.Даваадорж Д.Батцэцэг Ө.Мөнх-Эрдэнэ Ш.Доржсүрэн Ц.Батхуяг Б.Баатархүү Ч.Ганзориг Б.Навчаа Б.Даулетжан Ц.Төмөрхуяг Р.Адъяа Х.Манлайбаатар Б.Даваажав,Ханьсаг,87.17165669,1ц 27м
240,Помогите нам 3,Кино,,2012,ЭЭХ,1ц 32м,3.3,Ш.Даваадорж,,Ш.Даваадорж Б.Батзаяа С.Лхагвасүрэн Б.Дашзэвэг А.Адилцэцэг Р.Адъяа Х.Ихбаяр,Заяа'Ш студи,92,1ц 32м
241,Худалч залуу,Кино,,2012,ЭЭХ,1ц 26м,6.8,С.Баттулга,,"Б.Баатархүү, Н.Цэнд-Аюуш, Т.Бархүү, Жүжигчид С.Баттулга Б.Баатархүү Н.Цэнд-Аюуш Т.Бархүү",[],86,1ц 26м
242,Тавилан,Кино,,1999,Б,1ц 20м,6.9,Л.Энхбаярийн,,Л.Энхбаяр Б.Амарсайхан Ч.Ундрал,Л.Энхбаяр,80,1ц 20м
243,Аз ойрхон,Кино,,2010,16+,1ц 30м,6.3,Б.Батболд,Б.Батболд,Б.Батболд Г.Эрдэнэбилэг Б.Эрдэнэбаяр Б. Г.Эрхэмбаяр Г.Мандахбаяр Ц.Төмөрхуяг Б.Жаргалсайхан Д.Ганцэцэг,B.A.T,90,1ц 30м
244,Жексон амьд,Кино,,2012,ЭЭХ,1ц 30м,1,С.Баттулга,Д.Энхбаяр,С.Баттулга Н.Цэнгэлжаргал Д.Энхбаяр С.Лхагвасүрэн Ц.Цэрэнболд Р.Баттогтох Д.Батбаяр Н.Баярмаа Ш.Доржсүрэн,Herub энтертайнмент,90,1ц 30м
245,Гоёлын даашинз,Кино,,2009,13+,2ц 0м,6.8,З.Батболд,З.Батболд,"Б.Одбаяр, Д.Пүрэвсүрэн, Д.Батбаяр, О.Цэнгэл, Н.Оргил, Б.Баатархүү,",Биг лайн фильм,120,2ц 0м
246,Цасан охин,Кино,,2010,13+,1ц 39м,6.5,З.Батболд,,"Д.Пүрэвсүрэн, Б.Амарсайхан, Л.Чимэддорж, Ё.Цог, Ц.Цэнд-Аюуш, Ц.Алдармаа,",Биг лайн фильм,99,1ц 39м
248,Big Fish - Цэвэрлэгээ,Кино,,2012,16+,1ц 43м,6.3,Б.Батболд,,Б.Батболд Р.Амархүү О.Ариунзул Э.Халиун Б.Борхүү B.A О.Баярсайхан,B.A.T,103,1ц 43м
249,Аравт,Кино,,2012,ЭЭХ,1ц 31м,6.8,Д.Золбаяр,О.Эрдэнэ,И.Шагдарсүрэн О.Эрдэнэ Д.Золбаяр Б.Баасанжав Б.Аюурдадь Г.Алтаншагай Г.Золбоот С.Ариунбямба Б.Жаргалсайхан Ч.Бодь Д.Сосорбарам Л.Жамбал Д.Ганцэцэг Д.Гүрсэд Ё.Цог Э.Буянхишиг Н.Онон Ц.Цэрэнболд Б.Амарсайхан,Нүүдэл соёл (ӨМӨЗО) Монгол фильм групп Хаанаас үзэх вэ?,91,1ц 31м
256,Боолын гэрээ,Кино,,2008,13+,1ц 54м,6.3,З.Батболд,З.Батболд,"Ч.Болд, Б.Амарсайхан, О.Цэнгэл, Г.Отгонцэцэг, Ц.Батхуяг, Д.Пүрэвсүрэн, Б.Дамчаа, Б.Баатархүү, Ц.Төмөрбаатар, Д.Хүрэлхүү, Н.Ялалт,",Биг лайн фильм Комеди арт,114,1ц 54м
257,Буруу эргэлт,Кино,,2009,16+,1ц 33м,6.9,Н.Ариунболд,Л.Таванбаяр,Б.Энхээ Е.Баярмагнай Н.Ариунболд Л.Таванбаяр Ш.Даваадорж Т.Билгүүн Э.Ууганбаяр Т.Баттулга Ц.Ганбаяр Ц.Алдармаа О.Мөнхгэрэл Г.Эрхэмбаяр Г.Ундармаа Б.Ганхүү,Шинэ үе продакшн,93,1ц 33м
258,2 хоёрын 5,Кино,,2012,ЭЭХ,1ц 42м,6.7,,,Ц.Ганбаяр Б.Отгонтуяа Ц.Алдармаа Н.Ариунболд Д.Оюунтуул,Шинэ үе продакшн,102,1ц 42м
259,Үлгэрийн хайр,Кино,,2010,13+,1ц 39м,6.4,,,Н.Ариунболд А.Жавзан Г.Ундармаа,Шинэ үе продакшн,99,1ц 39м
260,Уулын төмөр,Кино,,2004,13+,1ц 46м,7,О.Бат-Өлзий,,О.Бат-Өлзий П.Баярхүү Ц.Батхуяг Б.Магсаржав Б.Ганхүү,Заяа'Ш студи,106,1ц 46м
261,Ноён солиот,Кино,,2002,13+,1ц 36м,6.9,О.Бат-Өлзий,,О.Бат-Өлзий Д.Ганцэцэг Н.Наранбаатар С.Болд-Эрдэнэ Д.Бямбацогт,Заяа'Ш студи,96,1ц 36м
262,Хайрыг хайрла,Кино,,2007,ЭЭХ,1ц 25м,6.9,О.Бат-Өлзий,,О.Бат-Өлзий Б.Тамир Т.Хулан,Заяа'Ш студи,85,1ц 25м
263,Зүрхэнд шивнэсэн үг,Кино,,2001,13+,1ц 38м,7,О.Бат-Өлзий,Д.Норов,С.Сарантуяа Д.Норов Ш.Дэлгэржаргал С.Дамдин О.Бат-Өлзий Д.Бямбацогт Ж.Пүрэвдорж Д.Төмөртогтох Б.Эрдэнэцэцэг Б.Болормаа Б.Ганхүү,Заяа'Ш студи,98,1ц 38м
264,9009,Кино,,2009,16+,1ц 31м,6.3,Б.Баяржаргал,Б.Баяржаргал,Б.Баяржаргал Б.Жаргалсайхан М.Мөнхжаргал Б.Баярсайхан О.Тэмүүжин,Next star production,91,1ц 31м
265,Сая долларын олз,Кино,,2011,ЭЭХ,1ц 33м,6.8,Ц.Хүсэлбаатар,,Ц.Хүсэлбаатар С.Өлзийхүү О.Гэрэлсүх Г.Эрдэнэбилэг Р.Адъяа,Хүсэлбаатар,93,1ц 33м
266,Амьдрах тасалбар,Кино,,2010,16+,1ц 40м,6.3,Ш.Доржсүрэн,Ц.Байгалмаа,"А.Мөнгөнзул, Э.Чинзориг, Х.Ихбаяр, С.Болд-Эрдэнэ, Н.Ялалт, Ц.Төмөрхуяг, Х.Ганхуяг, М.Саранцэцэг, Жүжигчид Ш.Доржсүрэн Д.Ганбаатар Ц.Байгалмаа С.Болд-Эрдэнэ Н.Ялалт Ц.Төмөрхуяг Х.Ганхуяг М.Саранцэцэг А.Мөнгөнзул Э.Чинзориг Х.Ихбаяр",[],100,1ц 40м
267,Болсон явдал,Кино,,2011,13+,1ц 37м,6.3,И.Одончимэг,Н.Онон И.Одончимэг,Т.Бархүү Б.Хулан Н.Болорчулуун Д.Ангараг И.Одончимэг Н.Онон Л.Баттулга О.Тэмүүжин Л.Дэмидбаатар Б.Эрдэнэцэцэг Д.Түвшинтөр Д.Баттөмөр,Х-ТҮЦ продакшн,97,1ц 37м
268,Бодлын хулгайч,Кино,,2011,13+,1ц 30м,4.3,Ж.Сэнгэдорж,Д.Төрмөнх Д.Төрмөнх,Ж.Сэнгэдорж Д.Төрмөнх Ш.Дэлгэржаргал Б.Амарсайхан Б.Батмэнд Ж.Баясгалан Н.Мөрөн Г.Золбоот Ч.Болд Ч.Алтан-Өлзий,Висдом фильм продакшн Хаанаас үзэх вэ?,90,1ц 30м
269,Маск,Кино,,2012,13+,1ц 45м,6.7,,,Х.Ихбаяр Б.Гантулга Р.Адъяа Э.Чамин-Эрдэнэ Б.Батзаяа,Имажинешн фильм,105,1ц 45м
270,Ах дүүс,Кино,,2010,13+,1ц 40м,3.4,А.Төгсбаяр,Д.Энхбаяр С.Бэхбаатар,Ч.Болд Д.Сарангуа Д.Оюунзул Г.Жанчив С.Бэхбаатар М.Дорждагва М.Саранцэцэг Я.Одгийв А.Төгсбаяр М.Наранмөнх Д.Энхбаяр,Имажинешн фильм,100,1ц 40м
271,Нэг хоёрын гурав аа,Кино,,2011,13+,2ц 7м,6.2,Д.Цогт,,Д.Цогт Ш.Доржсүрэн Б.Тамир О.Долгор А.Төгсбаяр О.Дөлгөөн Б.Ганхүү,Wizard production,127,2ц 7м
272,Үнэнээс хол,Кино,,2009,16+,1ц 33м,6.3,Ш.Даваадорж,,болон багийнхан,Wizard production,93,1ц 33м
273,Ийм нэгэн дурлал,Кино,,2006,13+,1ц 29м,7.2,С.Баттулга,А.Миеэгомбо,С.Баттулга Б.Гэрэлцэцэг Т.Билэгжаргал А.Миеэгомбо О.Тэмүүжин,Зэт Эм Эн,89,1ц 29м
274,Ийм нэгэн дурлал 2,Кино,,2008,ЭЭХ,1ц 27м,7,С.Баттулга,А.Миеэгомбо,С.Баттулга Б.Гэрэлцэцэг Т.Билэгжаргал Б.Хулан А.Миеэгомбо О.Тэмүүжин,Зэт Эм Эн,87,1ц 27м
275,Миний муу аав,Кино,,2010,13+,1ц 47м,6.6,Ц.Ганбат,,Ц.Ганбат Н.Долгор,Зэт Эм Эн,107,1ц 47м
276,Надтай гэрлээч,Кино,,2007,13+,1ц 26м,6.8,С.Баттулга,,С.Баттулга Ч.Болд М.Мөнхжаргал Г.Анхбаяр Ц.Наранханд,Зэт Эм Эн,86,1ц 26м
277,Зөрлөг,Кино,,2008,ЭЭХ,1ц 35м,6.7,Ч.Ганзориг,С.Баттулга,Ч.Ганзориг Б.Батзаяа С.Баттулга Т.Хулан Д.Сүхбаатар М.Нарантуяа Б.Тунгалаг Ш.Билгүүнтөгөлдөр Б.Гэрэлт-Од Б.Навчаа Ш.Дэлгэржаргал Э.Тамир,Зэт Эм Эн,95,1ц 35м
278,Би эмэгтэй хүн,Кино,,2012,ЭЭХ,1ц 34м,6.3,С.Бэхбаатар,Г.Мөнхжаргал,С.Бэхбаатар М.Наранмөнх Г.Мөнхжаргал Б.Навчаа Нараа П.Шүүдэрцэцэг Нараа П.Баттөр А.Төгсбаяр А.Баттүшиг Х.Манлайбаатар Б.Даулэтжан,ТАКТ ХХК Имажинешн фильм,94,1ц 34м
279,Ерөнхийлөгчийн туслах,Кино,,2013,Б,1ц 39м,6.9,М.Энхдалай,М.Энхдалай,М.Энхдалай Д.Төмөрбаатар Б.Цэсэндорж И.Мөрөн Б.Батхүслэн М.Тогтохжаргал М.Мөнхдалай А.Очирбат Ш.Цэцэг О.Отгонбат Б.Навчаа,Шинэ ертөнц продакшн,99,1ц 39м
280,03:30,Кино,,2010,16+,1ц 26м,6.8,М.Энхдалай,,М.Энхдалай П.Ариунбаатар Н.Болдцэцэг Д.Төмөрбаатар Э.Чинбат,Шинэ ертөнц продакшн,86,1ц 26м
281,Миний найз,Кино,,2012,13+,1ц 17м,6.3,А.Алтанхундага,,А.Алтанхундага Б.Мөнхбаатар Г.Мөнгөншагай Ч.Агармаа З.Ариунзул,Ред фильм,77,1ц 17м
282,Шидэт өвөл,Кино,,2009,Б,1ц 7м,6.6,А.Алтанхундага,,А.Алтанхундага Б.Нямтөр Г.Ганзориг Б.Шүр Л.Эрдэнэ,Dream art studio,67,1ц 7м
283,Гурван долоо хоног,Кино,,1999,16+,,8.1,Б.Баяр,,"Ч.Ундрал, Э.Алтангэрэл, Жүжигчид Ч.Ундрал Э.Алтангэрэл Б.Баяр",[],87.17165669,1ц 27м
284,Доргио 7 эр,Кино,,2011,Б,1ц 45м,5.8,Н.Ариунболд,С.Баттулга,Ц.Ганбаяр Т.Билгүүн Л.Сөрөлт Н.Ариунболд С.Баттулга Ц.Золжаргал Г.Ундармаа,Шинэ үе продакшн,105,1ц 45м
285,Лардьма,Кино,,2013,13+,1ц 35м,6.5,Ж.Сэнгэдорж,Д.Төрмөнх Ж.Сэнгэдорж А.Баттүшиг,Ж.Сэнгэдорж Д.Пүрэвсүрэн Б.Навчаа О.Гэрэлсүх Х.Аминзул Д.Төрмөнх А.Баттүшиг,Блек зебра Навчаа фильм Хаанаас үзэх вэ?,95,1ц 35м
286,Ану хатан,Кино,,2013,13+,2ц 50м,6.8,Т.Алтантуяа,Н.Шүүдэрцэцэг,Т.Алтантуяа М.Мягмар Д.Отгонжаргал Д.Ангараг С.Нэргүй С.Сарантуяа Г.Равдан С.Ариунбямба Ж.Оюундарь В. А.Адилцэцэг Амь сахигч гэрэлт Д.Төмөртогтох Н.Шүүдэрцэцэг,Шүүдэр продакшн Хаанаас үзэх вэ?,170,2ц 50м
287,The Call,Кино,,2013,16+,1ц 9м,5.9,Б.Чингүүн,Б.Чингүүн,Б.Чингүүн Б.Батзаяа Э.Урангоо М.Баянбаатар,Аурора фильмс Mogul cinema Хаанаас үзэх вэ?,69,1ц 9м
288,Нянгар хаданд гарсан нь,Кино,,2009,13+,1ц 50м,6.3,Б.Түмэн-Өлзий,,Б.Түмэн-Өлзий Г.Ган-Очир Ш.Ёолк,Н Ти Ви продакшн,110,1ц 50м
289,Дурлалын сум,Кино,,2012,16+,1ц 26м,6.6,Ц.Хүсэлбаатар,Ц.Хүсэлбаатар,Ц.Хүсэлбаатар Б.Туяа С.Өлзийхүү Ж.Уянга Д.Бямбацогт Р.Алтансүх М.Баярмагнай Г.Алтаншагай,Шилдэг өнгө продакшн,86,1ц 26м
290,Эрэмдэг,Кино,,2013,13+,1ц 40м,6.5,С.Бэхбаатарийн,,С.Бэхбаатар Э.Тамир С.Бат-Эрдэнэ Н.Ундрах Г.Бат-Эрдэнэ,Имажинешн фильм,100,1ц 40м
291,Шөнө дундын яриа,Кино,,2013,13+,1ц 35м,5.5,О.Батзориг,,О.Батзориг А.Гантулга А.Сүхбат Г.Тэнүүн Д.Санжаадорж,Очир фильм студи Хаанаас үзэх вэ?,95,1ц 35м
292,Single Ladies,Кино,,2013,13+,1ц 40м,6.8,А.Миеэгомбо,А.Миеэгомбо,О.Дөлгөөн А.Миеэгомбо Н.Ялалт Б.Баатархүү Г.Ундармаа А.Туяа Т.Билгүүн П.Эрдэнэзаан Д.Түвшинтөр Ц.Ганзориг Ц.Ганбаяр Ш.Жавхлан Б.Туяа Л.Сөрөлт Л.Нурбулан Э.Билэгжаргал Б.Отгонтуяа О.Ганбаатар Т.Баттулга Т.Ариунбулаг Г.Алтаншагай З.Онон Б.Барслхагва Г.Эзэнмөнх,U film Бондоолой фильм Миеэгомбо кино компани Хаанаас үзэх вэ?,100,1ц 40м
293,Зэрлэг цэцэгсийн хүлэмж,Кино,,2013,13+,1ц 50м,7.6,У.Уранчимэг,Д.Ганцэцэг,У.Уранчимэг М.Бямбаа Д.Ганцэцэг Б.Тунгалаг Б.Энхтүвшин Ц.Мөнхболд А.Ганчимэг Г.Мягмарнаран Ц.Төмөрхуяг Ж.Оюундарь Д.Мэндбаяр Ч.Алтан-Өлзий С.Сарантуяа Б.Баяржавхлан Л.Дэмидбаатар,Хувьсал продакшн,110,1ц 50м
294,Шарталт,Кино,,2013,ЭЭХ,1ц 25м,1.3,Л.Лхагважаргал,Д.Мөнхбат,"Ц.Батхуяг, Б.Баатархүү, Д.Бямбацогт, Р.Адъяа, Жүжигчид Л.Лхагважаргал Р.Адъяа Д.Мөнхбат Ц.Батхуяг Б.Баатархүү Д.Бямбацогт",[],85,1ц 25м
295,Үхлийн симфони,Кино,,2013,16+,1ц 15м,6.4,,,Э.Мөнхтулга Д.Мөнххишиг Б.Билгүүн,Оюунлаг продакшн,75,1ц 15м
296,Хунгийн сүүлчийн дуу,Кино,,2012,13+,1ц 29м,5.8,Р.Алтансүх,,Ж.Мөнхсайхан Б.Одгэрэл Р.Алтансүх,Твинс фильмс студи (Twins Film),89,1ц 29м
