ID,Овог нэр,Мэргэжил,Төрсөн өдөр,Танилцуулга,BirthYear
90,Aleksey Chadov,Жүжигчин,1969-06-01 00:00:00,,1969
91,Konstantin Kryukov,Жүжигчин,1998-12-12 00:00:00,,1998
92,Andrei Kavun,Найруулагч,1984-09-28 00:00:00,,1984
93,Aleksandr Baluev,Жүжигчин,1991-05-17 00:00:00,,1991
94,Yury Belyayev,Жүжигчин,1990-02-25 00:00:00,,1990
95,Bogdan Benyuk,Жүжигчин,1952-11-05 00:00:00,,1952
96,Тимур Бекмамбетов,Найруулагч,1964-01-07 00:00:00,Темір Бекмамбетов,1964
97,Сергей Светлаков,Жүжигчин,1970-10-21 00:00:00,,1970
98,Артур Смольянинов,Жүжигчин,1972-11-08 00:00:00,,1972
99,Сергей Безруков,Жүжигчин,1942-11-21 00:00:00,,1942
100,Алексей Петренко,Жүжигчин,1976-01-28 00:00:00,,1976
101,Вера Сторозева,Найруулагч,1950-03-08 00:00:00,,1950
102,Артур Смолянинов,Жүжигчин,1989-01-23 00:00:00,,1989
103,Анна Старшенбаум,Жүжигчин,1985-01-30 00:00:00,,1985
104,Сергей Пускепалис,Жүжигчин,2000-11-20 00:00:00,,2000
105,Константин Хабенский,Жүжигчин,1989-02-25 00:00:00,,1989
106,Мария Порошина,Жүжигчин,1964-03-13 00:00:00,,1964
107,Владимир Меньшов,Найруулагч,2003-11-09 00:00:00,,2003
108,Валерий Золотухин,Жүжигчин,1967-02-12 00:00:00,,1967
109,Сергей Эйзенштейн,Найруулагч,1961-07-03 00:00:00,,1961
110,Александр Антонов,Жүжигчин,1999-10-07 00:00:00,,1999
111,Владимир Барский,Жүжигчин,1964-06-13 00:00:00,,1964
112,Григорий Александров,Жүжигчин,1945-01-14 00:00:00,,1945
113,Павел Пархоменко,Найруулагч,1970-12-28 00:00:00,,1970
114,Ярослав Жалнин,Жүжигчин,1992-07-07 00:00:00,,1992
115,Михаил Филиппов,Жүжигчин,1952-07-03 00:00:00,,1952
116,Владимир Стеклов,Жүжигчин,1970-07-22 00:00:00,,1970
117,Гор Киракосян,Найруулагч,1948-07-29 00:00:00,,1948
118,Михаил Галустян,Жүжигчин,1985-04-22 00:00:00,,1985
119,Иван Стебунов,Жүжигчин,1971-05-25 00:00:00,,1971
120,Ингрид Олеринская,Жүжигчин,1961-10-17 00:00:00,,1961
121,Владимир Яглыч,Жүжигчин,1954-12-23 00:00:00,,1954
122,Карен Шахназаров,Найруулагч,1977-04-04 00:00:00,,1977
123,Алексей Вертков,Жүжигчин,1984-03-17 00:00:00,,1984
124,Виталий Кищенко,Жүжигчин,2002-01-22 00:00:00,,2002
125,Валерий Гришко,Жүжигчин,1968-11-07 00:00:00,,1968
126,Dong-won Kim,Найруулагч,1950-08-09 00:00:00,,1950
127,Rain,Жүжигчин,1994-12-16 00:00:00,,1994
128,Joon-sang Yoo,Жүжигчин,1981-07-25 00:00:00,,1981
129,Seong-su Kim,Жүжигчин,1986-03-21 00:00:00,,1986
130,Jae-young Kwak,Найруулагч,1946-06-01 00:00:00,,1946
132,Gianna Jun,Жүжигчин,1960-08-13 00:00:00,,1960
133,Jin-hie Han,Жүжигчин,1990-09-05 00:00:00,,1990
134,Kyoo-tae Kim,Найруулагч,1994-12-06 00:00:00,,1994
135,Yun-ho Yang,Найруулагч,1968-09-21 00:00:00,,1968
136,Byung-hun Lee,Жүжигчин,1970-07-12 00:00:00,이병헌,1970
137,Seung Hyun Choi,Жүжигчин,1993-02-11 00:00:00,,1993
138,Tae-hee Kim,Жүжигчин,1995-07-21 00:00:00,,1995
139,Hun Jang,Найруулагч,1965-07-28 00:00:00,,1965
140,Ha-kyun Shin,Жүжигчин,1999-04-11 00:00:00,,1999
141,Go Soo,Жүжигчин,1959-01-11 00:00:00,,1959
142,Seung-su Ryu,Жүжигчин,1955-10-24 00:00:00,,1955
143,Je-kyu Kang,Найруулагч,1985-01-16 00:00:00,,1985
144,Dong-gun Jang,Жүжигчин,1982-01-10 00:00:00,,1982
145,Jo Odagiri,Жүжигчин,1949-03-23 00:00:00,,1949
146,Bingbing Fan,Жүжигчин,1994-12-17 00:00:00,,1994
147,Neil Jones,Найруулагч,1953-03-12 00:00:00,,1953
148,Francisco Lopez Aparicio,Жүжигчин,1993-02-14 00:00:00,,1993
149,Timothy Bourne,Жүжигчин,1940-06-26 00:00:00,,1940
150,Victoria Broom,Жүжигчин,1992-08-04 00:00:00,,1992
151,Ji-hoon Kim,Найруулагч,1991-12-09 00:00:00,,1991
152,Mina Cho,Жүжигчин,1991-07-04 00:00:00,,1991
153,Sang-kyung Kim,Жүжигчин,1983-11-18 00:00:00,,1983
154,Sul Kyung-gu,Жүжигчин,1971-02-15 00:00:00,,1971
155,Byun Sung-hyun,Найруулагч,1986-07-17 00:00:00,,1986
156,Kim Ah-joong,Жүжигчин,1958-04-16 00:00:00,,1958
157,Ji Sung,Жүжигчин,1991-07-13 00:00:00,,1991
158,Kim Jin-Young,Найруулагч,1976-09-02 00:00:00,,1976
159,Park Ha-Sun,Жүжигчин,1970-04-16 00:00:00,,1970
160,Yoon Sang-Huyn,Жүжигчин,1973-05-15 00:00:00,,1973
161,Park Cheol-Min,Жүжигчин,1977-07-15 00:00:00,,1977
162,Sung-Hee Jo,Найруулагч,1942-06-17 00:00:00,,1942
163,Young-nam Jang,Жүжигчин,1949-03-24 00:00:00,,1949
164,Hyang-ki Kim,Жүжигчин,1956-03-14 00:00:00,,1956
165,Bo-yeong Park,Жүжигчин,1947-07-23 00:00:00,,1947
166,Ik-ro Kim,Найруулагч,1969-01-05 00:00:00,,1969
167,Hie-bong Jo,Жүжигчин,1984-02-12 00:00:00,,1984
168,Seong-ha Jo,Жүжигчин,1983-03-12 00:00:00,,1983
169,Hyo-rin Min,Жүжигчин,1971-02-03 00:00:00,,1971
170,Shin Tae-ra,Найруулагч,1996-06-08 00:00:00,,1996
171,Kang Ji-hwan,Жүжигчин,1977-04-22 00:00:00,,1977
172,Sung Yu-ri,Жүжигчин,1945-03-24 00:00:00,,1945
173,Eun-jin Pang,Найруулагч,1990-06-28 00:00:00,,1990
174,Seung-beom Ryu,Жүжигчин,1977-12-03 00:00:00,,1977
175,Yo-won Lee,Жүжигчин,1981-11-22 00:00:00,,1981
176,Jin-woong Jo,Жүжигчин,1977-04-25 00:00:00,,1977
177,Kwon Ho-Jung,Найруулагч,1976-07-15 00:00:00,,1976
178,Kim Beom,Жүжигчин,1945-12-23 00:00:00,,1945
179,Esom,Жүжигчин,1976-11-27 00:00:00,,1976
180,Seo Hyun-Chul,Жүжигчин,1992-06-18 00:00:00,,1992
181,Han-min Kim,Найруулагч,1960-01-23 00:00:00,,1960
182,Hae-il Park,Жүжигчин,1979-10-15 00:00:00,,1979
183,Seung-yong Ryoo,Жүжигчин,1942-01-12 00:00:00,,1942
184,Mu-Yeol Kim,Жүжигчин,1962-12-08 00:00:00,,1962
185,Sang Hoon Ang,Найруулагч,1968-10-27 00:00:00,,1968
186,Ha Neul Kim,Жүжигчин,2004-11-10 00:00:00,,2004
187,Seung Ho Yoo,Жүжигчин,1954-02-28 00:00:00,,1954
188,Hie bong Jo,Жүжигчин,1958-04-02 00:00:00,,1958
189,Dong hyuk Hwang,Найруулагч,1966-12-18 00:00:00,,1966
190,Gong Yoo,Жүжигчин,2005-07-08 00:00:00,,2005
191,Yu mi Jeong,Жүжигчин,1996-04-28 00:00:00,,1996
192,Hyeon soo Kim,Жүжигчин,1942-04-16 00:00:00,,1942
193,Seung wan Ryoo,Найруулагч,1955-06-10 00:00:00,,1955
194,Jung woo Ha,Жүжигчин,1994-03-26 00:00:00,,1994
195,Suk kyu Han,Жүжигчин,1943-11-06 00:00:00,,1943
196,Seung beom Ryu,Жүжигчин,1996-06-22 00:00:00,,1996
197,Dong-Hoon Choi,Найруулагч,1958-07-28 00:00:00,,1958
198,Yun-seok Kim,Жүжигчин,2000-07-25 00:00:00,,2000
199,Jung-Jae Lee,Жүжигчин,1959-05-18 00:00:00,,1959
200,Hye-su Kim,Жүжигчин,1968-08-31 00:00:00,,1968
201,Beom-gu Cho,Найруулагч,1983-09-08 00:00:00,,1983
202,Min-ki Lee,Жүжигчин,1948-05-02 00:00:00,,1948
203,Ye-won Kang,Жүжигчин,1976-10-06 00:00:00,,1976
204,In-kwon Kim,Жүжигчин,1973-05-01 00:00:00,,1973
205,Cheol kwan Park,Найруулагч,1991-09-27 00:00:00,,1991
206,Hyun jung Go,Жүжигчин,2005-09-29 00:00:00,,2005
207,Hae jin Yu,Жүжигчин,1983-11-05 00:00:00,,1983
208,Jae suk Ha,Жүжигчин,1967-01-03 00:00:00,,1967
209,Yong-Joo Lee,Найруулагч,1966-10-27 00:00:00,,1966
210,Tae-woong Eom,Жүжигчин,1967-08-02 00:00:00,,1967
211,Ga-in Han,Жүжигчин,1993-09-22 00:00:00,,1993
212,Je-hoon Lee,Жүжигчин,1961-03-14 00:00:00,,1961
213,Joo-ho Kim,Найруулагч,1951-01-08 00:00:00,,1951
214,Ji-ho Oh,Жүжигчин,1962-01-23 00:00:00,,1962
215,Hyo-rin Min,Жүжигчин,1941-07-01 00:00:00,,1941
216,Hyeong-Cheol Kang,Найруулагч,1947-01-02 00:00:00,,1947
217,Byeong-Heon Lee,Жүжигчин,1945-12-10 00:00:00,,1945
218,Hoon-jung Park,Найруулагч,1990-12-03 00:00:00,,1990
219,Il-hwa Choi,Жүжигчин,1987-09-04 00:00:00,,1987
220,Min-sik Choi,Жүжигчин,1985-12-27 00:00:00,,1985
221,Jeong-min Hwang,Жүжигчин,1970-06-26 00:00:00,,1970
222,Tae-kyeong Kim,Найруулагч,1987-04-30 00:00:00,,1987
223,Lee Malg Eum,Жүжигчин,1950-08-23 00:00:00,,1950
224,Choi Ji Heon,Жүжигчин,1999-06-11 00:00:00,,1999
225,Lee Yoo Joo,Жүжигчин,1973-01-25 00:00:00,,1973
226,Bong Joon-Ho,Найруулагч,2001-11-29 00:00:00,,2001
227,Jung-min Hwang,Жүжигчин,1950-01-19 00:00:00,,1950
228,Hie-bong Byeon,Жүжигчин,1972-10-28 00:00:00,,1972
229,Hae-il Park,Жүжигчин,1985-12-16 00:00:00,,1985
230,Hyung-rae Shim,Найруулагч,1972-09-17 00:00:00,,1972
231,Jason Behr,Жүжигчин,1969-06-12 00:00:00,,1969
232,Amanda Brooks,Жүжигчин,1950-12-20 00:00:00,,1950
233,Robert Forster,Жүжигчин,1965-02-23 00:00:00,,1965
234,Hyeon-seong Moon,Найруулагч,1955-10-04 00:00:00,,1955
235,Ji-won Ha,Жүжигчин,1959-11-25 00:00:00,,1959
236,Doona Bae,Жүжигчин,1985-02-14 00:00:00,,1985
238,In-moo Heo,Найруулагч,1981-08-07 00:00:00,,1981
239,Eun-hye Yun,Жүжигчин,1980-01-28 00:00:00,,1980
240,Han-byeol Park,Жүжигчин,1963-11-18 00:00:00,,1963
241,Ye-ryeon Cha,Жүжигчин,2003-05-05 00:00:00,,2003
242,John H Lee,Найруулагч,1945-10-13 00:00:00,,1945
243,Seung-won Cha,Жүжигчин,1962-08-11 00:00:00,,1962
244,Sang-woo Kwon,Жүжигчин,1947-10-15 00:00:00,,1947
245,Seung Hyun Choi,Жүжигчин,1962-05-15 00:00:00,,1962
246,Chang-min Choo,Найруулагч,2003-06-27 00:00:00,,2003
248,Seung-yong Ryoo,Жүжигчин,1964-03-04 00:00:00,,1964
249,Han Hyo-joo,Жүжигчин,1999-12-20 00:00:00,,1999
250,Hey-jun Lee,Найруулагч,1972-09-03 00:00:00,,1972
251,Min-heui Hong,Жүжигчин,1986-03-07 00:00:00,,1986
252,So-yeon Jang,Жүжигчин,1970-03-10 00:00:00,,1970
253,Jae-yeong Jeong,Жүжигчин,1957-07-19 00:00:00,,1957
254,Han Lee,Найруулагч,1990-06-10 00:00:00,,1990
255,Yun-seok Kim,Жүжигчин,2003-12-19 00:00:00,,2003
256,Ah In Yoo,Жүжигчин,1957-05-23 00:00:00,,1957
257,Su-young Park,Жүжигчин,1991-05-26 00:00:00,,1991
258,Hong-seon Kim,Найруулагч,1957-03-27 00:00:00,,1957
259,Chang-Jung Lim,Жүжигчин,1987-04-26 00:00:00,,1987
260,Батдоржийн Жаргалсайхан,Найруулагч,1992-01-28 00:00:00,Батдорж овогтой Жаргалсайхан,1992
261,Цэрэндагвын Эрдэнэбат,Жүжигчин,1962-07-27 00:00:00,Цэрэндагва овогтой Эрдэнэбат,1962
262,Woo-Suk Kang,Найруулагч,1969-08-28 00:00:00,,1969
263,Jeong-min Hwang,Жүжигчин,1988-08-20 00:00:00,,1988
264,Woong-in Jung,Жүжигчин,1957-12-19 00:00:00,,1957
265,Kim Yong Han,Найруулагч,1945-03-25 00:00:00,,1945
266,Hyun Sang Kwon,Жүжигчин,1946-05-12 00:00:00,,1946
267,Bo Ra Nam,Жүжигчин,1969-07-03 00:00:00,,1969
268,Yoo Oh Seong,Жүжигчин,1999-07-29 00:00:00,,1999
269,Cho Jung Rae,Найруулагч,1948-06-02 00:00:00,,1948
270,Kim Seul Gi,Жүжигчин,1970-01-30 00:00:00,,1970
271,Jo Ah Reum,Жүжигчин,1986-06-20 00:00:00,,1986
272,Ha Yoo,Найруулагч,1953-05-10 00:00:00,,1953
273,Na-yeong Lee,Жүжигчин,1987-08-18 00:00:00,,1987
274,Jang In-ho,Жүжигчин,1960-03-11 00:00:00,,1960
275,Joon-ik Lee,Найруулагч,1993-05-16 00:00:00,,1993
276,Woo-seong Kam,Жүжигчин,1978-03-25 00:00:00,,1978
277,Jin-yeong Jeong,Жүжигчин,1976-02-05 00:00:00,,1976
278,Seong-Yeon Kang,Жүжигчин,1951-09-01 00:00:00,,1951
279,Sang Yoon Lim,Найруулагч,1970-07-28 00:00:00,,1970
280,Ji Seob So,Жүжигчин,1996-07-15 00:00:00,,1996
281,Mi Yeon Lee,Жүжигчин,1941-04-15 00:00:00,,1941
282,Do Won Kwak,Жүжигчин,1990-01-23 00:00:00,,1990
283,Kim Jee Won,Найруулагч,1972-07-10 00:00:00,,1972
284,Kap Su Kim,Жүжигчин,1987-06-27 00:00:00,,1987
285,Jung Ah Yum,Жүжигчин,1983-10-12 00:00:00,,1983
286,Su Jeong Lim,Жүжигчин,1968-07-08 00:00:00,,1968
287,Soonrye Yim,Найруулагч,1960-05-16 00:00:00,,1960
288,Ye Ri Han,Жүжигчин,1981-05-27 00:00:00,,1981
289,Seong Gyoon Kim,Жүжигчин,1949-04-03 00:00:00,,1949
290,Yun Seok Kim,Жүжигчин,1978-07-20 00:00:00,,1978
291,Byeong Gil Jeong,Найруулагч,1946-04-01 00:00:00,,1946
292,Won Yeong Choi,Жүжигчин,1982-11-21 00:00:00,,1982
293,Gwang Jang,Жүжигчин,1981-07-01 00:00:00,,1981
294,Jae Yeong,Жүжигчин,1945-07-28 00:00:00,,1945
295,Gok Kim,Найруулагч,1989-12-29 00:00:00,,1989
296,Sun Kim,Найруулагч,1967-06-11 00:00:00,,1967
297,Eun Jeong Ham,Жүжигчин,1991-12-08 00:00:00,,1991
298,Woo Seul Hye Hwang,Жүжигчин,1942-09-30 00:00:00,,1942
299,Maydoni,Жүжигчин,1951-11-05 00:00:00,,1951
300,Seok Hoon Lee,Найруулагч,1972-08-08 00:00:00,,1972
301,Jeong Hwa Eom,Жүжигчин,1952-06-03 00:00:00,,1952
302,Jeong Min Hwang,Жүжигчин,1961-10-08 00:00:00,,1961
303,Mi Ran Ra,Жүжигчин,1983-08-08 00:00:00,,1983
304,Sol Kyung Gu,Жүжигчин,1949-07-16 00:00:00,,1949
305,Jung Woo Sung,Жүжигчин,1984-09-23 00:00:00,,1984
306,Han Hyo Joo,Жүжигчин,1946-10-28 00:00:00,,1946
307,Young Joo Byun,Найруулагч,1951-07-25 00:00:00,,1951
308,Seon gyun Lee,Жүжигчин,1978-10-14 00:00:00,,1978
309,Gi Hoon Jeong,Найруулагч,1992-05-15 00:00:00,,1992
310,name,Жүжигчин,1951-04-05 00:00:00,,1951
311,Jyu Ni Hyun,Жүжигчин,1959-10-19 00:00:00,,1959
312,Lee Hwan Kyung,Найруулагч,2001-01-21 00:00:00,,2001
313,Ryu Seung Ryong,Жүжигчин,2005-04-27 00:00:00,,2005
314,Kal So Won,Жүжигчин,1978-05-08 00:00:00,,1978
315,Do Bin Baek,Жүжигчин,1969-07-03 00:00:00,,1969
316,Tae Hyun Cha,Жүжигчин,1962-11-22 00:00:00,,1962
317,Kwang guy Kim,Жүжигчин,1980-06-03 00:00:00,,1980
318,Jin-ho Hur,Найруулагч,1979-01-01 00:00:00,,1979
319,Suk-kyu Han,Жүжигчин,1959-06-15 00:00:00,,1959
320,Eun-ha Shim,Жүжигчин,1941-07-03 00:00:00,,1941
321,Goo Shin,Жүжигчин,1949-12-31 00:00:00,,1949
322,Chan-wook Park,Найруулагч,2003-04-07 00:00:00,,2003
323,Ji-tae Yu,Жүжигчин,1967-08-07 00:00:00,,1967
324,Hye-jeong Kang,Жүжигчин,1971-10-31 00:00:00,,1971
325,Sang-soo Im,Найруулагч,1970-10-30 00:00:00,,1970
326,Do-yeon Jeon,Жүжигчин,1991-08-30 00:00:00,,1991
327,name,,1944-04-14 00:00:00,,1944
328,Yeo-jeong Yoon,Жүжигчин,1945-06-17 00:00:00,,1945
329,Il-gon Song,Найруулагч,1958-03-16 00:00:00,,1958
330,Ji-seob So,Жүжигчин,1972-02-13 00:00:00,,1972
331,Shin-il Kang,Жүжигчин,1984-04-17 00:00:00,,1984
332,Kim Jee-Woon,Найруулагч,1972-05-21 00:00:00,,1972
333,Yu-mi Jeong,Жүжигчин,1969-02-12 00:00:00,,1969
334,Ku Jin,Жүжигчин,2001-11-24 00:00:00,,2001
335,Sang Man Kim,Найруулагч,1950-08-17 00:00:00,,1950
336,Soo Ae,Жүжигчин,1977-09-25 00:00:00,,1977
337,Ji-tae Yu,Жүжигчин,1975-10-15 00:00:00,,1975
338,Ma Dong-seok,Жүжигчин,1971-04-02 00:00:00,,1971
339,Jung-hwan Kim,Найруулагч,1993-04-20 00:00:00,,1993
340,Ye-seul Han,Жүжигчин,1957-08-14 00:00:00,,1957
341,Joong-ki Song,Жүжигчин,2002-12-13 00:00:00,,2002
342,Sung-Hyun Yoon,Найруулагч,1961-11-19 00:00:00,,1961
343,Jung-min Park,Жүжигчин,1975-12-21 00:00:00,,1975
344,Kang-ho Song,Жүжигчин,1974-05-13 00:00:00,,1974
345,Woo-sung Jung,Жүжигчин,1996-02-01 00:00:00,,1996
346,Hong-jin Na,Найруулагч,1968-12-19 00:00:00,,1968
347,Jung-woo Ha,Жүжигчин,1958-10-12 00:00:00,,1958
348,Sung Ha Jo,Жүжигчин,1941-06-05 00:00:00,,1941
349,Min-sik Choi,Жүжигчин,1964-01-02 00:00:00,,1964
350,Jin-yeong Jeong,Жүжигчин,1994-07-15 00:00:00,,1994
351,Kyung Ho Jung,Жүжигчин,1940-08-27 00:00:00,,1940
352,Hong-soo Park,Найруулагч,1999-02-23 00:00:00,,1999
353,Хан Еэри,Жүжигчин,1975-10-29 00:00:00,"Ye-ri Han, Han Yeri, 한예리",1975
354,Ho-bin Jeong,Жүжигчин,1949-04-03 00:00:00,,1949
355,Kim Je-yeong,Найруулагч,1959-12-11 00:00:00,,1959
356,Kim Min-jeong,Жүжигчин,1976-07-26 00:00:00,,1976
357,Cheon Jeong-myeong,Жүжигчин,1960-11-01 00:00:00,,1960
358,Lee Hyun-Jong,Найруулагч,1947-03-02 00:00:00,,1947
359,Kim A-Joong,Жүжигчин,1983-12-15 00:00:00,,1983
360,Joo Won,Жүжигчин,1984-05-14 00:00:00,,1984
361,Park Je-Hyun,Найруулагч,1947-11-05 00:00:00,,1947
362,Ha Ji-Won,Жүжигчин,1958-07-24 00:00:00,,1958
363,Gang Ye-Won,Жүжигчин,1956-02-05 00:00:00,,1956
364,Son Ga-In,Жүжигчин,1983-07-10 00:00:00,,1983
365,Fernando González Molina,Найруулагч,1988-03-14 00:00:00,,1988
366,Mario Casas,Жүжигчин,1987-12-25 00:00:00,,1987
367,María Valverde,Жүжигчин,2001-12-16 00:00:00,,2001
368,Álvaro Cervantes,Жүжигчин,1990-09-24 00:00:00,,1990
369,Clara Lago,Жүжигчин,1961-03-01 00:00:00,,1961
370,Javier Ruiz Caldera,Найруулагч,1947-02-10 00:00:00,,1947
371,Raul Arevalo,Жүжигчин,1980-07-26 00:00:00,,1980
372,Alexandra Jimenez,Жүжигчин,2000-06-16 00:00:00,,2000
373,Javier Bodalo,Жүжигчин,2004-05-12 00:00:00,,2004
374,Banjong Pisanthanakun,Найруулагч,1955-03-12 00:00:00,,1955
375,Parkpoom Wongpoom,Найруулагч,1955-08-10 00:00:00,,1955
376,Ananda Everingham,Жүжигчин,1942-06-20 00:00:00,,1942
377,Natthaweeranuch Thongmee,Жүжигчин,1949-04-28 00:00:00,,1949
378,Achita Sikamana,Жүжигчин,1976-08-14 00:00:00,,1976
379,Faruk Aksoy,Найруулагч,1976-02-02 00:00:00,,1976
380,Devrim Evin,Жүжигчин,1964-06-24 00:00:00,,1964
381,Ibrahim Celikkol,Жүжигчин,1960-06-16 00:00:00,,1960
382,Dilek Serbest,Жүжигчин,1994-10-07 00:00:00,,1994
383,Levent Semerci,Найруулагч,1970-05-13 00:00:00,,1970
384,Ilker Kizmaz,Жүжигчин,1993-05-06 00:00:00,,1993
385,Baris Bagci,Жүжигчин,2003-07-29 00:00:00,,2003
386,Ozgur Eren Koc,Жүжигчин,1960-12-06 00:00:00,,1960
387,Francois Ozon,Найруулагч,1953-05-19 00:00:00,,1953
388,Fabrice Luchini,Жүжигчин,2002-11-22 00:00:00,,2002
389,Ernst Umhauer,Жүжигчин,1981-11-24 00:00:00,,1981
390,Kristin Scott Thomas,Жүжигчин,1959-03-15 00:00:00,,1959
391,James Huth,Найруулагч,1981-01-16 00:00:00,,1981
392,Gad Elmaleh,Жүжигчин,1973-12-29 00:00:00,,1973
393,Sophie Marceau,Жүжигчин,1999-10-07 00:00:00,,1999
394,Maurice Barthelemy,Жүжигчин,1956-11-22 00:00:00,,1956
395,Olivier Nakache,Найруулагч,2005-06-07 00:00:00,,2005
396,Eric Toledano,Найруулагч,2001-10-12 00:00:00,,2001
397,Francois Cluzet,Жүжигчин,1951-12-05 00:00:00,,1951
398,Omar Sy,Жүжигчин,1950-11-12 00:00:00,,1950
399,Laurent Tirard,Найруулагч,1975-03-10 00:00:00,,1975
400,Valerie Lemercier,Жүжигчин,1942-12-18 00:00:00,,1942
401,Kad Merad,Жүжигчин,1959-09-21 00:00:00,,1959
402,Sylvain Chomet,Найруулагч,1968-09-18 00:00:00,,1968
403,Jean-Claude Donda,Жүжигчин,2003-12-24 00:00:00,,2003
404,Michel Robin,Жүжигчин,2005-07-01 00:00:00,,2005
405,Luc Besson,Найруулагч,1950-01-01 00:00:00,,1950
406,Louise Bourgoin,Жүжигчин,1998-11-07 00:00:00,,1998
407,Mathieu Amalric,Жүжигчин,1946-01-01 00:00:00,,1946
408,Fanny Ardant,Жүжигчин,1989-05-29 00:00:00,,1989
409,Emmanuelle Beart,Жүжигчин,1995-10-24 00:00:00,,1995
410,Danielle Darrieux,Жүжигчин,1998-10-17 00:00:00,,1998
411,Jean-Marc Vallee,Найруулагч,1954-09-29 00:00:00,,1954
412,Michel Cote,Жүжигчин,1998-12-20 00:00:00,,1998
413,Marc-Andre Grondin,Жүжигчин,1947-08-27 00:00:00,,1947
414,Danielle Proulx,Жүжигчин,1974-03-31 00:00:00,,1974
415,Christophe Gans,Найруулагч,1970-12-28 00:00:00,,1970
416,Samuel Le Bihan,Жүжигчин,1960-11-07 00:00:00,,1960
417,Mark Dacascos,Жүжигчин,1941-06-17 00:00:00,,1941
419,Gerard Pires,Найруулагч,1990-12-14 00:00:00,,1990
420,Samy Naceri,Жүжигчин,1962-02-23 00:00:00,,1962
421,Frederic Diefenthal,Жүжигчин,1983-09-02 00:00:00,,1983
422,Marion Cotillard,Жүжигчин,1967-01-28 00:00:00,,1967
423,Gerard Krawczyk,Найруулагч,1964-08-29 00:00:00,,1964
424,Emma Wiklund,Жүжигчин,1998-06-30 00:00:00,,1998
425,Bernard Farcy,Жүжигчин,1946-03-27 00:00:00,,1946
