actor_name,actor_id,birth_date,profession
Dong-Hoon Choi,154,7/28/1958 0:00,Найруулагч
Yun-seok Kim,155,7/25/2000 0:00,Жүжигчин
Jung-Jae Lee,156,5/18/1959 0:00,Жүжигчин
Hye-su Kim,157,8/31/1968 0:00,Жүжигчин
Beom-gu Cho,158,9/8/1983 0:00,Найруулагч
Min-ki Lee,159,5/2/1948 0:00,Жүжигчин
Ye-won Kang,160,10/6/1976 0:00,Жүжигчин
In-kwon Kim,161,5/1/1973 0:00,Жүжигчин
Cheol kwan Park,162,9/27/1991 0:00,Найруулагч
Hyun jung Go,163,9/29/2005 0:00,Жүжигчин
Hae jin Yu,164,11/5/1983 0:00,Жүжигчин
Jae suk Ha,165,1/3/1967 0:00,Жүжигчин
Yong-Joo Lee,166,10/27/1966 0:00,Найруулагч
Tae-woong Eom,167,8/2/1967 0:00,Жүжигчин
Ga-in Han,168,9/22/1993 0:00,Жүжигчин
Je-hoon Lee,169,3/14/1961 0:00,Жүжигчин
Joo-ho Kim,170,1/8/1951 0:00,Найруулагч
Ji-ho Oh,171,1/23/1962 0:00,Жүжигчин
Hyeong-Cheol Kang,172,1/2/1947 0:00,Найруулагч
Byeong-Heon Lee,173,12/10/1945 0:00,Жүжигчин
Hoon-jung Park,174,12/3/1990 0:00,Найруулагч
Il-hwa Choi,175,9/4/1987 0:00,Жүжигчин
Min-sik Choi,176,12/27/1985 0:00,Жүжигчин
Jeong-min Hwang,177,6/26/1970 0:00,Жүжигчин
Tae-kyeong Kim,178,4/30/1987 0:00,Найруулагч
Lee Malg Eum,179,8/23/1950 0:00,Жүжигчин
Choi Ji Heon,180,6/11/1999 0:00,Жүжигчин
Lee Yoo Joo,181,1/25/1973 0:00,Жүжигчин
Bong Joon-Ho,182,11/29/2001 0:00,Найруулагч
Jung-min Hwang,183,1/19/1950 0:00,Жүжигчин
Hie-bong Byeon,184,10/28/1972 0:00,Жүжигчин
Hyung-rae Shim,185,9/17/1972 0:00,Найруулагч
Jason Behr,186,6/12/1969 0:00,Жүжигчин
Amanda Brooks,187,12/20/1950 0:00,Жүжигчин
Robert Forster,188,2/23/1965 0:00,Жүжигчин
Hyeon-seong Moon,189,10/4/1955 0:00,Найруулагч
Ji-won Ha,190,11/25/1959 0:00,Жүжигчин
Doona Bae,191,2/14/1985 0:00,Жүжигчин
In-moo Heo,192,8/7/1981 0:00,Найруулагч
Eun-hye Yun,193,1/28/1980 0:00,Жүжигчин
Han-byeol Park,194,11/18/1963 0:00,Жүжигчин
Ye-ryeon Cha,195,5/5/2003 0:00,Жүжигчин
John H Lee,196,10/13/1945 0:00,Найруулагч
Seung-won Cha,197,8/11/1962 0:00,Жүжигчин
Sang-woo Kwon,198,10/15/1947 0:00,Жүжигчин
Chang-min Choo,199,6/27/2003 0:00,Найруулагч
Han Hyo-joo,200,12/20/1999 0:00,Жүжигчин
Hey-jun Lee,201,9/3/1972 0:00,Найруулагч
Min-heui Hong,202,3/7/1986 0:00,Жүжигчин
So-yeon Jang,203,3/10/1970 0:00,Жүжигчин
Jae-yeong Jeong,204,7/19/1957 0:00,Жүжигчин
Han Lee,205,6/10/1990 0:00,Найруулагч
Ah In Yoo,206,5/23/1957 0:00,Жүжигчин
Su-young Park,207,5/26/1991 0:00,Жүжигчин
Hong-seon Kim,208,3/27/1957 0:00,Найруулагч
Chang-Jung Lim,209,4/26/1987 0:00,Жүжигчин
Батдоржийн Жаргалсайхан,210,1/28/1992 0:00,Найруулагч
Цэрэндагвын Эрдэнэбат,211,7/27/1962 0:00,Жүжигчин
Woo-Suk Kang,212,8/28/1969 0:00,Найруулагч
Woong-in Jung,213,12/19/1957 0:00,Жүжигчин
Kim Yong Han,214,3/25/1945 0:00,Найруулагч
Hyun Sang Kwon,215,5/12/1946 0:00,Жүжигчин
Bo Ra Nam,216,7/3/1969 0:00,Жүжигчин
Yoo Oh Seong,217,7/29/1999 0:00,Жүжигчин
Cho Jung Rae,218,6/2/1948 0:00,Найруулагч
Kim Seul Gi,219,1/30/1970 0:00,Жүжигчин
Jo Ah Reum,220,6/20/1986 0:00,Жүжигчин
Ha Yoo,221,5/10/1953 0:00,Найруулагч
Na-yeong Lee,222,8/18/1987 0:00,Жүжигчин
Jang In-ho,223,3/11/1960 0:00,Жүжигчин
Joon-ik Lee,224,5/16/1993 0:00,Найруулагч
Woo-seong Kam,225,3/25/1978 0:00,Жүжигчин
Jin-yeong Jeong,226,2/5/1976 0:00,Жүжигчин
Seong-Yeon Kang,227,9/1/1951 0:00,Жүжигчин
Sang Yoon Lim,228,7/28/1970 0:00,Найруулагч
Ji Seob So,229,7/15/1996 0:00,Жүжигчин
Mi Yeon Lee,230,4/15/1941 0:00,Жүжигчин
Do Won Kwak,231,1/23/1990 0:00,Жүжигчин
Kim Jee Won,232,7/10/1972 0:00,Найруулагч
Kap Su Kim,233,6/27/1987 0:00,Жүжигчин
Jung Ah Yum,234,10/12/1983 0:00,Жүжигчин
Su Jeong Lim,235,7/8/1968 0:00,Жүжигчин
Soonrye Yim,236,5/16/1960 0:00,Найруулагч
Ye Ri Han,237,5/27/1981 0:00,Жүжигчин
Seong Gyoon Kim,238,4/3/1949 0:00,Жүжигчин
Yun Seok Kim,239,7/20/1978 0:00,Жүжигчин
Byeong Gil Jeong,240,4/1/1946 0:00,Найруулагч
Won Yeong Choi,241,11/21/1982 0:00,Жүжигчин
Gwang Jang,242,7/1/1981 0:00,Жүжигчин
Jae Yeong,243,7/28/1945 0:00,Жүжигчин
Gok Kim,244,12/29/1989 0:00,Найруулагч
Sun Kim,245,6/11/1967 0:00,Найруулагч
Eun Jeong Ham,246,12/8/1991 0:00,Жүжигчин
Woo Seul Hye Hwang,247,9/30/1942 0:00,Жүжигчин
Maydoni,248,11/5/1951 0:00,Жүжигчин
Seok Hoon Lee,249,8/8/1972 0:00,Найруулагч
Jeong Hwa Eom,250,6/3/1952 0:00,Жүжигчин
Jeong Min Hwang,251,10/8/1961 0:00,Жүжигчин
Mi Ran Ra,252,8/8/1983 0:00,Жүжигчин
Sol Kyung Gu,253,7/16/1949 0:00,Жүжигчин
Jung Woo Sung,254,9/23/1984 0:00,Жүжигчин
Han Hyo Joo,255,10/28/1946 0:00,Жүжигчин
Young Joo Byun,256,7/25/1951 0:00,Найруулагч
Seon gyun Lee,257,10/14/1978 0:00,Жүжигчин
Gi Hoon Jeong,258,5/15/1992 0:00,Найруулагч
name,259,4/5/1951 0:00,Жүжигчин
Jyu Ni Hyun,260,10/19/1959 0:00,Жүжигчин
Lee Hwan Kyung,261,1/21/2001 0:00,Найруулагч
Ryu Seung Ryong,262,4/27/2005 0:00,Жүжигчин
Kal So Won,263,5/8/1978 0:00,Жүжигчин
Do Bin Baek,264,7/3/1969 0:00,Жүжигчин
Tae Hyun Cha,265,11/22/1962 0:00,Жүжигчин
Kwang guy Kim,266,6/3/1980 0:00,Жүжигчин
Jin-ho Hur,267,1/1/1979 0:00,Найруулагч
Suk-kyu Han,268,6/15/1959 0:00,Жүжигчин
Eun-ha Shim,269,7/3/1941 0:00,Жүжигчин
Goo Shin,270,12/31/1949 0:00,Жүжигчин
Chan-wook Park,271,4/7/2003 0:00,Найруулагч
Ji-tae Yu,272,8/7/1967 0:00,Жүжигчин
Hye-jeong Kang,273,10/31/1971 0:00,Жүжигчин
Sang-soo Im,274,10/30/1970 0:00,Найруулагч
Do-yeon Jeon,275,8/30/1991 0:00,Жүжигчин
Yeo-jeong Yoon,276,6/17/1945 0:00,Жүжигчин
Il-gon Song,277,3/16/1958 0:00,Найруулагч
Ji-seob So,278,2/13/1972 0:00,Жүжигчин
Shin-il Kang,279,4/17/1984 0:00,Жүжигчин
Kim Jee-Woon,280,5/21/1972 0:00,Найруулагч
Yu-mi Jeong,281,2/12/1969 0:00,Жүжигчин
Ku Jin,282,11/24/2001 0:00,Жүжигчин
Sang Man Kim,283,8/17/1950 0:00,Найруулагч
Soo Ae,284,9/25/1977 0:00,Жүжигчин
Ma Dong-seok,285,4/2/1971 0:00,Жүжигчин
Jung-hwan Kim,286,4/20/1993 0:00,Найруулагч
Ye-seul Han,287,8/14/1957 0:00,Жүжигчин
Joong-ki Song,288,12/13/2002 0:00,Жүжигчин
Sung-Hyun Yoon,289,11/19/1961 0:00,Найруулагч
Jung-min Park,290,12/21/1975 0:00,Жүжигчин
Kang-ho Song,291,5/13/1974 0:00,Жүжигчин
Woo-sung Jung,292,2/1/1996 0:00,Жүжигчин
Hong-jin Na,293,12/19/1968 0:00,Найруулагч
Jung-woo Ha,294,10/12/1958 0:00,Жүжигчин
Sung Ha Jo,295,6/5/1941 0:00,Жүжигчин
Kyung Ho Jung,296,8/27/1940 0:00,Жүжигчин
Hong-soo Park,297,2/23/1999 0:00,Найруулагч
Хан Еэри,298,10/29/1975 0:00,Жүжигчин
Ho-bin Jeong,299,4/3/1949 0:00,Жүжигчин
Kim Je-yeong,300,12/11/1959 0:00,Найруулагч
Kim Min-jeong,301,7/26/1976 0:00,Жүжигчин
Cheon Jeong-myeong,302,11/1/1960 0:00,Жүжигчин
Lee Hyun-Jong,303,3/2/1947 0:00,Найруулагч
Kim A-Joong,304,12/15/1983 0:00,Жүжигчин
Joo Won,305,5/14/1984 0:00,Жүжигчин
Park Je-Hyun,306,11/5/1947 0:00,Найруулагч
Ha Ji-Won,307,7/24/1958 0:00,Жүжигчин
Gang Ye-Won,308,2/5/1956 0:00,Жүжигчин
Son Ga-In,309,7/10/1983 0:00,Жүжигчин
Fernando González Molina,310,3/14/1988 0:00,Найруулагч
Mario Casas,311,12/25/1987 0:00,Жүжигчин
María Valverde,312,12/16/2001 0:00,Жүжигчин
Álvaro Cervantes,313,9/24/1990 0:00,Жүжигчин
Clara Lago,314,3/1/1961 0:00,Жүжигчин
Javier Ruiz Caldera,315,2/10/1947 0:00,Найруулагч
Raul Arevalo,316,7/26/1980 0:00,Жүжигчин
Alexandra Jimenez,317,6/16/2000 0:00,Жүжигчин
Javier Bodalo,318,5/12/2004 0:00,Жүжигчин
Banjong Pisanthanakun,319,3/12/1955 0:00,Найруулагч
Parkpoom Wongpoom,320,8/10/1955 0:00,Найруулагч
Ananda Everingham,321,6/20/1942 0:00,Жүжигчин
Natthaweeranuch Thongmee,322,4/28/1949 0:00,Жүжигчин
Achita Sikamana,323,8/14/1976 0:00,Жүжигчин
Faruk Aksoy,324,2/2/1976 0:00,Найруулагч
Devrim Evin,325,6/24/1964 0:00,Жүжигчин
Ibrahim Celikkol,326,6/16/1960 0:00,Жүжигчин
Dilek Serbest,327,10/7/1994 0:00,Жүжигчин
Levent Semerci,328,5/13/1970 0:00,Найруулагч
Ilker Kizmaz,329,5/6/1993 0:00,Жүжигчин
Baris Bagci,330,7/29/2003 0:00,Жүжигчин
Ozgur Eren Koc,331,12/6/1960 0:00,Жүжигчин
Francois Ozon,332,5/19/1953 0:00,Найруулагч
Fabrice Luchini,333,11/22/2002 0:00,Жүжигчин
Ernst Umhauer,334,11/24/1981 0:00,Жүжигчин
Kristin Scott Thomas,335,3/15/1959 0:00,Жүжигчин
James Huth,336,1/16/1981 0:00,Найруулагч
Gad Elmaleh,337,12/29/1973 0:00,Жүжигчин
Sophie Marceau,338,10/7/1999 0:00,Жүжигчин
Maurice Barthelemy,339,11/22/1956 0:00,Жүжигчин
Olivier Nakache,340,6/7/2005 0:00,Найруулагч
Eric Toledano,341,10/12/2001 0:00,Найруулагч
Francois Cluzet,342,12/5/1951 0:00,Жүжигчин
Omar Sy,343,11/12/1950 0:00,Жүжигчин
Laurent Tirard,344,3/10/1975 0:00,Найруулагч
Valerie Lemercier,345,12/18/1942 0:00,Жүжигчин
Kad Merad,346,9/21/1959 0:00,Жүжигчин
Sylvain Chomet,347,9/18/1968 0:00,Найруулагч
Jean-Claude Donda,348,12/24/2003 0:00,Жүжигчин
Michel Robin,349,7/1/2005 0:00,Жүжигчин
Luc Besson,350,1/1/1950 0:00,Найруулагч
Louise Bourgoin,351,11/7/1998 0:00,Жүжигчин
Mathieu Amalric,352,1/1/1946 0:00,Жүжигчин
Fanny Ardant,353,5/29/1989 0:00,Жүжигчин
Emmanuelle Beart,354,10/24/1995 0:00,Жүжигчин
Danielle Darrieux,355,10/17/1998 0:00,Жүжигчин
Jean-Marc Vallee,356,9/29/1954 0:00,Найруулагч
Michel Cote,357,12/20/1998 0:00,Жүжигчин
Marc-Andre Grondin,358,8/27/1947 0:00,Жүжигчин
Danielle Proulx,359,3/31/1974 0:00,Жүжигчин
Christophe Gans,360,12/28/1970 0:00,Найруулагч
Samuel Le Bihan,361,11/7/1960 0:00,Жүжигчин
Mark Dacascos,362,6/17/1941 0:00,Жүжигчин
Gerard Pires,363,12/14/1990 0:00,Найруулагч
Samy Naceri,364,2/23/1962 0:00,Жүжигчин
Frederic Diefenthal,365,9/2/1983 0:00,Жүжигчин
Marion Cotillard,366,1/28/1967 0:00,Жүжигчин
Gerard Krawczyk,367,8/29/1964 0:00,Найруулагч
Emma Wiklund,368,6/30/1998 0:00,Жүжигчин
Bernard Farcy,369,3/27/1946 0:00,Жүжигчин
Philippe Falardeau,370,8/13/1988 0:00,Найруулагч
Mohamed Fellag,371,4/15/1989 0:00,Жүжигчин
Sophie Nelisse,372,1/29/1965 0:00,Жүжигчин
Christian Carion,373,4/28/1957 0:00,Найруулагч
Mads Mikkelsen,374,5/7/1940 0:00,Жүжигчин
Benno Fürmann,375,10/30/2001 0:00,Жүжигчин
Guillaume Canet,376,7/20/2002 0:00,Жүжигчин
Rie Rasmussen,377,11/27/1955 0:00,Жүжигчин
Jamel Debbouze,378,2/8/1942 0:00,Жүжигчин
Gilbert Melki,379,2/7/1948 0:00,Жүжигчин
Celine Sciamma,380,6/18/1944 0:00,Найруулагч
Zoe Heran,381,11/8/1994 0:00,Жүжигчин
Malonn Levana,382,11/13/1998 0:00,Жүжигчин
Jeanne Disson,383,2/12/1950 0:00,Жүжигчин
Yann Samuell,384,4/14/1989 0:00,Найруулагч
Remi Bezancon,385,3/27/1964 0:00,Найруулагч
Jacques Gamblin,386,7/24/1979 0:00,Жүжигчин
Zabou Breitman,387,7/8/1987 0:00,Жүжигчин
Pio Marmai,388,9/21/1997 0:00,Жүжигчин
Alain Corneau,389,12/15/1942 0:00,Найруулагч
Ludivine Sagnier,390,12/18/1952 0:00,Жүжигчин
David Foenkinos,391,7/7/1958 0:00,Найруулагч
Audrey Tautou,392,6/24/1960 0:00,Жүжигчин
Francois Damiens,393,11/14/2005 0:00,Жүжигчин
Jacques Audiard,394,4/23/1991 0:00,Найруулагч
Vincent Cassel,395,2/23/1961 0:00,Жүжигчин
Emmanuelle Devos,396,2/21/2004 0:00,Жүжигчин
Lisa Azuelos,397,12/14/1972 0:00,Найруулагч
Christa Theret,398,1/18/1973 0:00,Жүжигчин
Christian Vincent,399,8/16/1968 0:00,Найруулагч
Catherine Frot,400,6/30/1949 0:00,Жүжигчин
Arthur Dupont,401,9/1/2001 0:00,Жүжигчин
Jean-Pierre Dardenne,402,12/1/1940 0:00,Найруулагч
Thomas Doret,403,7/3/1951 0:00,Жүжигчин
Cécile de France,404,2/27/1955 0:00,Жүжигчин
Olivier Assayas,405,6/8/1958 0:00,Найруулагч
Juliette Binoche,406,9/12/1948 0:00,Жүжигчин
Leonor Watling,407,3/8/1941 0:00,Жүжигчин
Ludivine Sagnie,408,9/22/1984 0:00,Жүжигчин
Abdellatif Kechiche,409,12/23/2003 0:00,Найруулагч
Lea Seydoux,410,1/16/1948 0:00,Жүжигчин
Adele Exarchopoulos,411,7/28/1959 0:00,Жүжигчин
Frederic Schoendoerffer,412,6/2/1973 0:00,Найруулагч
Karine Vanasse,413,3/20/2001 0:00,Жүжигчин
Eric Cantona,414,10/27/1985 0:00,Жүжигчин
Daniel Cohen,415,7/27/1990 0:00,Найруулагч
Michael Youn,416,5/9/1978 0:00,Жүжигчин
Patrice Leconte,417,7/11/1967 0:00,Найруулагч
Bernard Alane,418,3/8/1953 0:00,Жүжигчин
Isabelle Spade,419,1/17/1997 0:00,Жүжигчин
Kacey Mottet Klein,420,1/27/1993 0:00,Жүжигчин
Anurag Basu,421,8/28/1941 0:00,Найруулагч
Ranbir Kapoor,422,3/21/1987 0:00,Жүжигчин
Priyanka Chopra,423,7/27/1945 0:00,Жүжигчин
Haradhan Bannerjee,424,10/9/1988 0:00,Жүжигчин
Jing Wong,425,7/7/1994 0:00,Найруулагч
Yun-Fat Chow,426,8/25/1948 0:00,Жүжигчин
Xiaoming Huang,427,8/19/1968 0:00,Жүжигчин
Lok Man Leung,428,3/2/1948 0:00,Найруулагч
Kim-ching Luk,429,6/10/1977 0:00,Найруулагч
Aaron Kwok,430,3/21/2001 0:00,Жүжигчин
Tony Leung Ka Fai,431,5/3/1945 0:00,Жүжигчин
Charlie Yeung,432,3/29/1966 0:00,Жүжигчин
Kar Wai Wong,433,3/24/2004 0:00,Найруулагч
Maggie Cheung,434,11/11/1959 0:00,Жүжигчин
Tony Leung Chiu Wai,435,9/22/1948 0:00,Жүжигчин
Ping Lam Siu,436,3/31/1972 0:00,Жүжигчин
Wayne Wang,437,7/21/1973 0:00,Найруулагч
Russell Wong,438,10/1/1983 0:00,Жүжигчин
Bingbing Li,439,9/15/1960 0:00,Жүжигчин
Hing-Ka Chan,440,1/27/2003 0:00,Найруулагч
Gong Linna,441,5/22/1974 0:00,Жүжигчин
Donnie Yen,442,11/27/1958 0:00,Жүжигчин
Chi-Fung Tang,443,5/19/2003 0:00,Жүжигчин
Wilson Yip,444,1/14/2001 0:00,Найруулагч
Simon Yam,445,12/11/1972 0:00,Жүжигчин
Sammo Hung Kam-Bo,446,8/22/1941 0:00,Жүжигчин
Cecilia Cheung,447,8/23/1976 0:00,Жүжигчин
Ziyi Zhang,448,10/12/1949 0:00,Жүжигчин
Xiaogang Feng,449,11/4/1981 0:00,Найруулагч
Adrien Brody,450,6/30/1995 0:00,Жүжигчин
Tim Robbins,451,12/27/1946 0:00,Жүжигчин
Daoming Chen,452,9/28/1987 0:00,Жүжигчин
Manfred Wong,453,4/6/1949 0:00,Найруулагч
Wai Man Yip,454,6/3/1989 0:00,Найруулагч
Jin Auyeung,455,8/30/1967 0:00,Жүжигчин
Michelle Ye,456,6/5/1940 0:00,Жүжигчин
Daming Chen,457,10/9/2003 0:00,Найруулагч
Andy Lau,458,12/15/1950 0:00,Жүжигчин
Li Gong,459,5/4/1979 0:00,Жүжигчин
